DIALS 3.dev.1399-g5d3eb2eaa
The following parameters have been modified:

spotfinder {
  mp {
    nproc = 4
  }
}
input {
  experiments = imported.expt
}

Setting spotfinder.filter.min_spot_size=3
Configuring spot finder from input parameters
--------------------------------------------------------------------------------
Finding strong spots in imageset 0
--------------------------------------------------------------------------------

Finding spots in image 1 to 540...
Setting chunksize=27
Extracting strong pixels from images
 Using multiprocessing with 4 parallel job(s)

Found 2719 strong pixels on image 524
Found 2561 strong pixels on image 525
Found 2638 strong pixels on image 526
Found 2587 strong pixels on image 527
Found 2615 strong pixels on image 528
Found 2536 strong pixels on image 529
Found 2610 strong pixels on image 530
Found 2596 strong pixels on image 531
Found 2553 strong pixels on image 532
Found 2658 strong pixels on image 533
Found 2589 strong pixels on image 534
Found 2603 strong pixels on image 535
Found 2492 strong pixels on image 536
Found 2494 strong pixels on image 537
Found 2557 strong pixels on image 538
Found 2313 strong pixels on image 539
Found 2562 strong pixels on image 540

Extracted 166523 spots
Removed 34848 spots with size < 3 pixels
Removed 4 spots with size > 1000 pixels
Calculated 131671 spot centroids
Calculated 131671 spot intensities
Filtered 131409 of 131671 spots by peak-centroid distance

Histogram of per-image spot count for imageset 0:
131409 spots found on 540 images (max 2437 / bin)
                                             *             *
******** ***************************************************
************************************************************
************************************************************
************************************************************
************************************************************
************************************************************
************************************************************
************************************************************
************************************************************
1                         image                          540

--------------------------------------------------------------------------------
Saved 131409 reflections to strong.refl
