DIALS 3.dev.345-gf2cdeb6c2
The following parameters have been modified:

spotfinder {
  mp {
    nproc = 4
  }
}
input {
  experiments = imported.expt
}

Setting spotfinder.filter.min_spot_size=3
Configuring spot finder from input parameters
--------------------------------------------------------------------------------
Finding strong spots in imageset 0
--------------------------------------------------------------------------------

Finding spots in image 1 to 720...
Setting chunksize=20
Extracting strong pixels from images
 Using multiprocessing with 4 parallel job(s)

Found 1286 strong pixels on image 424
Found 1259 strong pixels on image 425
Found 1478 strong pixels on image 426
Found 1198 strong pixels on image 427
Found 1248 strong pixels on image 428
Found 1204 strong pixels on image 429
Found 1310 strong pixels on image 430
Found 1458 strong pixels on image 431
Found 1094 strong pixels on image 432
Found 1273 strong pixels on image 433
Found 1319 strong pixels on image 434
Found 1171 strong pixels on image 435
Found 1391 strong pixels on image 436
Found 1262 strong pixels on image 437
Found 1217 strong pixels on image 438
Found 1300 strong pixels on image 439
Found 1340 strong pixels on image 440
Found 1275 strong pixels on image 441
Found 1130 strong pixels on image 442
Found 1337 strong pixels on image 443
Found 1265 strong pixels on image 444
Found 1310 strong pixels on image 445
Found 1293 strong pixels on image 446
Found 1220 strong pixels on image 447
Found 1463 strong pixels on image 448
Found 1299 strong pixels on image 449
Found 1256 strong pixels on image 450
Found 1322 strong pixels on image 451
Found 1375 strong pixels on image 452
Found 1189 strong pixels on image 453
Found 1217 strong pixels on image 454
Found 1321 strong pixels on image 455
Found 1219 strong pixels on image 456
Found 1265 strong pixels on image 457
Found 1311 strong pixels on image 458
Found 1222 strong pixels on image 459
Found 1167 strong pixels on image 460
Found 1268 strong pixels on image 461
Found 1352 strong pixels on image 462
Found 1484 strong pixels on image 463
Found 1277 strong pixels on image 464
Found 1390 strong pixels on image 465
Found 1346 strong pixels on image 466
Found 1264 strong pixels on image 467
Found 1189 strong pixels on image 468
Found 1492 strong pixels on image 469
Found 1276 strong pixels on image 470
Found 1214 strong pixels on image 471
Found 1297 strong pixels on image 472
Found 1489 strong pixels on image 473
Found 1379 strong pixels on image 474
Found 1271 strong pixels on image 475
Found 1240 strong pixels on image 476
Found 1339 strong pixels on image 477
Found 1503 strong pixels on image 478
Found 1299 strong pixels on image 479
Found 1273 strong pixels on image 480
Found 1262 strong pixels on image 481
Found 1307 strong pixels on image 482
Found 1181 strong pixels on image 483
Found 1259 strong pixels on image 484
Found 1271 strong pixels on image 485
Found 1452 strong pixels on image 486
Found 1288 strong pixels on image 487
Found 1135 strong pixels on image 488
Found 1183 strong pixels on image 489
Found 1369 strong pixels on image 490
Found 1335 strong pixels on image 491
Found 1275 strong pixels on image 492
Found 1344 strong pixels on image 493
Found 1315 strong pixels on image 494
Found 1480 strong pixels on image 495
Found 1264 strong pixels on image 496
Found 1371 strong pixels on image 497
Found 1406 strong pixels on image 498
Found 1187 strong pixels on image 499
Found 1155 strong pixels on image 500
Found 1328 strong pixels on image 501
Found 1341 strong pixels on image 502
Found 1369 strong pixels on image 503
Found 1317 strong pixels on image 504
Found 1555 strong pixels on image 505
Found 1259 strong pixels on image 506
Found 1436 strong pixels on image 507
Found 1404 strong pixels on image 508
Found 1358 strong pixels on image 509
Found 1485 strong pixels on image 510
Found 1393 strong pixels on image 511
Found 1323 strong pixels on image 512
Found 1394 strong pixels on image 513
Found 1338 strong pixels on image 514
Found 1454 strong pixels on image 515
Found 1434 strong pixels on image 516
Found 1436 strong pixels on image 517
Found 1493 strong pixels on image 518
Found 1339 strong pixels on image 519
Found 1452 strong pixels on image 520
Found 1332 strong pixels on image 521
Found 1312 strong pixels on image 522
Found 1440 strong pixels on image 523
Found 1317 strong pixels on image 524
Found 1356 strong pixels on image 525
Found 1425 strong pixels on image 526
Found 1277 strong pixels on image 527
Found 1471 strong pixels on image 528
Found 1437 strong pixels on image 529
Found 1229 strong pixels on image 530
Found 1469 strong pixels on image 531
Found 1558 strong pixels on image 532
Found 1292 strong pixels on image 533
Found 1421 strong pixels on image 534
Found 1460 strong pixels on image 535
Found 1440 strong pixels on image 536
Found 1348 strong pixels on image 537
Found 1515 strong pixels on image 538
Found 1464 strong pixels on image 539
Found 1404 strong pixels on image 540
Found 1492 strong pixels on image 541
Found 1420 strong pixels on image 542
Found 1351 strong pixels on image 543
Found 1469 strong pixels on image 544
Found 1415 strong pixels on image 545
Found 1348 strong pixels on image 546
Found 1373 strong pixels on image 547
Found 1294 strong pixels on image 548
Found 1613 strong pixels on image 549
Found 1631 strong pixels on image 550
Found 1579 strong pixels on image 551
Found 1429 strong pixels on image 552
Found 1406 strong pixels on image 553
Found 1348 strong pixels on image 554
Found 1710 strong pixels on image 555
Found 1656 strong pixels on image 556
Found 1562 strong pixels on image 557
Found 1343 strong pixels on image 558
Found 1406 strong pixels on image 559
Found 1570 strong pixels on image 560
Found 1538 strong pixels on image 561
Found 1593 strong pixels on image 562
Found 1456 strong pixels on image 563
Found 1354 strong pixels on image 564
Found 1374 strong pixels on image 565
Found 1558 strong pixels on image 566
Found 1347 strong pixels on image 567
Found 1418 strong pixels on image 568
Found 1722 strong pixels on image 569
Found 1629 strong pixels on image 570
Found 1445 strong pixels on image 571
Found 1419 strong pixels on image 572
Found 1526 strong pixels on image 573
Found 1458 strong pixels on image 574
Found 1736 strong pixels on image 575
Found 1549 strong pixels on image 576
Found 1531 strong pixels on image 577
Found 1376 strong pixels on image 578
Found 1591 strong pixels on image 579
Found 1398 strong pixels on image 580
Found 1842 strong pixels on image 581
Found 1662 strong pixels on image 582
Found 1689 strong pixels on image 583
Found 1657 strong pixels on image 584
Found 1614 strong pixels on image 585
Found 1477 strong pixels on image 586
Found 1617 strong pixels on image 587
Found 1794 strong pixels on image 588
Found 1582 strong pixels on image 589
Found 1678 strong pixels on image 590
Found 1612 strong pixels on image 591
Found 1513 strong pixels on image 592
Found 1750 strong pixels on image 593
Found 1467 strong pixels on image 594
Found 1584 strong pixels on image 595
Found 1534 strong pixels on image 596
Found 1781 strong pixels on image 597
Found 1568 strong pixels on image 598
Found 1618 strong pixels on image 599
Found 1689 strong pixels on image 600
Found 1949 strong pixels on image 601
Found 1701 strong pixels on image 602
Found 1871 strong pixels on image 603
Found 1674 strong pixels on image 604
Found 1530 strong pixels on image 605
Found 1594 strong pixels on image 606
Found 1719 strong pixels on image 607
Found 1719 strong pixels on image 608
Found 1711 strong pixels on image 609
Found 1649 strong pixels on image 610
Found 1580 strong pixels on image 611
Found 1489 strong pixels on image 612
Found 1625 strong pixels on image 613
Found 1740 strong pixels on image 614
Found 1664 strong pixels on image 615
Found 1703 strong pixels on image 616
Found 1838 strong pixels on image 617
Found 1521 strong pixels on image 618
Found 1782 strong pixels on image 619
Found 1678 strong pixels on image 620
Found 1689 strong pixels on image 621
Found 1619 strong pixels on image 622
Found 1640 strong pixels on image 623
Found 1682 strong pixels on image 624
Found 1471 strong pixels on image 625
Found 1713 strong pixels on image 626
Found 1896 strong pixels on image 627
Found 1912 strong pixels on image 628
Found 1795 strong pixels on image 629
Found 1904 strong pixels on image 630
Found 1681 strong pixels on image 631
Found 1732 strong pixels on image 632
Found 1734 strong pixels on image 633
Found 1928 strong pixels on image 634
Found 1937 strong pixels on image 635
Found 1784 strong pixels on image 636
Found 1741 strong pixels on image 637
Found 1730 strong pixels on image 638
Found 1894 strong pixels on image 639
Found 1947 strong pixels on image 640
Found 1916 strong pixels on image 641
Found 1692 strong pixels on image 642
Found 1622 strong pixels on image 643
Found 1676 strong pixels on image 644
Found 1708 strong pixels on image 645
Found 1787 strong pixels on image 646
Found 1727 strong pixels on image 647
Found 1606 strong pixels on image 648
Found 1774 strong pixels on image 649
Found 1699 strong pixels on image 650
Found 1851 strong pixels on image 651
Found 1710 strong pixels on image 652
Found 1742 strong pixels on image 653
Found 1852 strong pixels on image 654
Found 1528 strong pixels on image 655
Found 1671 strong pixels on image 656
Found 1693 strong pixels on image 657
Found 1716 strong pixels on image 658
Found 1760 strong pixels on image 659
Found 1728 strong pixels on image 660
Found 1997 strong pixels on image 661
Found 1597 strong pixels on image 662
Found 1615 strong pixels on image 663
Found 1588 strong pixels on image 664
Found 1609 strong pixels on image 665
Found 1630 strong pixels on image 666
Found 1729 strong pixels on image 667
Found 1730 strong pixels on image 668
Found 1577 strong pixels on image 669
Found 1584 strong pixels on image 670
Found 1621 strong pixels on image 671
Found 1683 strong pixels on image 672
Found 1735 strong pixels on image 673
Found 1605 strong pixels on image 674
Found 1650 strong pixels on image 675
Found 1534 strong pixels on image 676
Found 1572 strong pixels on image 677
Found 1677 strong pixels on image 678
Found 1769 strong pixels on image 679
Found 1594 strong pixels on image 680
Found 1608 strong pixels on image 681
Found 1405 strong pixels on image 682
Found 1559 strong pixels on image 683
Found 1707 strong pixels on image 684
Found 1709 strong pixels on image 685
Found 1645 strong pixels on image 686
Found 1530 strong pixels on image 687
Found 1636 strong pixels on image 688
Found 1550 strong pixels on image 689
Found 1738 strong pixels on image 690
Found 1546 strong pixels on image 691
Found 1504 strong pixels on image 692
Found 1586 strong pixels on image 693
Found 1740 strong pixels on image 694
Found 1423 strong pixels on image 695
Found 1573 strong pixels on image 696
Found 1506 strong pixels on image 697
Found 1434 strong pixels on image 698
Found 1568 strong pixels on image 699
Found 1498 strong pixels on image 700
Found 1629 strong pixels on image 701
Found 1569 strong pixels on image 702
Found 1563 strong pixels on image 703
Found 1447 strong pixels on image 704
Found 1445 strong pixels on image 705
Found 1311 strong pixels on image 706
Found 1513 strong pixels on image 707
Found 1653 strong pixels on image 708
Found 1509 strong pixels on image 709
Found 1476 strong pixels on image 710
Found 1579 strong pixels on image 711
Found 1523 strong pixels on image 712
Found 1563 strong pixels on image 713
Found 1562 strong pixels on image 714
Found 1560 strong pixels on image 715
Found 1512 strong pixels on image 716
Found 1677 strong pixels on image 717
Found 1482 strong pixels on image 718
Found 1204 strong pixels on image 719
Found 1523 strong pixels on image 720

Extracted 124946 spots
Removed 16738 spots with size < 3 pixels
Removed 1 spots with size > 1000 pixels
Calculated 108207 spot centroids
Calculated 108207 spot intensities
Filtered 107999 of 108207 spots by peak-centroid distance

Histogram of per-image spot count for imageset 0:
107999 spots found on 720 images (max 2137 / bin)
*                                                           
***********                 ************                 ***
*********************************************** ************
************************************************************
************************************************************
************************************************************
************************************************************
************************************************************
************************************************************
************************************************************
1                         image                          720

--------------------------------------------------------------------------------
Saved 107999 reflections to strong.refl
